note_id,issuer,underlying,issue_date,issue_year,S0,maturity,coupon_rate,ki_barrier,atm_iv,estimated_value,h_v0,h_kappa,h_theta,h_xi,h_rho,h_feller,gbm_fv,gbm_se,gbm_p5,gbm_es5,gbm_p1,gbm_es1,gbm_ki,gbm_ac,gbm_worst,hes_fv,hes_se,hes_p5,hes_es5,hes_p1,hes_es1,hes_ki,hes_ac,hes_worst,scp_heston,scp_sec,scp_gap,margin_gap,es5_gap,outcome,realized_return
JP-ORCL-202101,JPMorgan,ORCL,2021-01-20,2021,54.92,2.0,0.02125,0.6,0.182278254760251,965.7,0.03322536215844297,2.5,0.03488663026636512,0.32810085856845184,-0.55,1.6203703703703702,1024.3776777487542,0.19032393090343577,1011.0883927163378,998.1511760983096,660.6676334348451,597.7772705925653,0.02498,0.82286,425.1627703685496,1014.1974746041144,0.25865326732606275,1011.0883927163378,988.2927705892885,564.556489956974,475.237448195996,0.05504,0.84522,119.01329366355749,-1.4197474604114404,3.4299999999999957,-4.849747460411436,10.18020314463979,9.858405509021168,autocalled,0.02125
JP-MGM-202303,JPMorgan,MGM,2023-03-23,2023,41.23,2.01,0.0304,0.5,0.3538314187068492,970.6,0.12519667286410163,2.0,0.13145650650730673,0.6368965536723286,-0.65,1.2962962962962965,1006.9422632738391,0.5019959184994668,573.6470873901012,456.3464480289122,382.0435730419678,323.93467783159855,0.14349,0.7776,128.10275006836207,993.4948046458474,0.5616524603964367,507.72519029776737,354.2581276790847,259.69266688330333,189.71620693292996,0.17539,0.80828,14.72058739188054,0.6505195354152647,2.9399999999999977,-2.289480464584733,13.44745862799175,102.08832034982754,autocalled,0.03040000000000009
CI-SPX-202210,Citigroup,SPX,2022-10-06,2022,3693.23,1.99,0.025875,0.75,0.23416714309281092,982.7,0.05483425090424898,1.8,0.057575963449461434,0.4215008575670597,-0.72,1.1666666666666665,986.9832695117158,0.402603600693725,657.2638440172697,558.0811287146059,493.45710999368725,441.1262718062455,0.28513,0.80611,269.4914739082377,983.9813739124444,0.44473327296347154,622.061320651928,472.0826690342468,376.87061764449436,292.15341283786586,0.27951,0.83861,65.47393627480197,1.6018626087555616,1.7299999999999955,-0.1281373912444339,3.0018955992713927,85.99845968035913,autocalled,0.025875
HS-MSFT-202312,HSBC USA,MSFT,2023-12-07,2023,370.95,1.26,0.008508,0.75,0.22133295761477167,980.83,0.04898827812650231,2.0,0.05143769203282743,0.39839932370658904,-0.65,1.296296296296296,965.8672074991393,0.31750774943248355,689.9805234685539,615.7202007007612,569.0487475830215,521.8324487104525,0.16485,0.78189,325.9831193874709,962.6428363357857,0.3632475298139107,662.5838903848651,542.7376551019514,467.9542538115447,386.3467200286054,0.18314,0.81179,140.5856396623851,3.735716366421434,1.9169999999999958,1.8187163664214383,3.2243711633536805,72.98254559880979,autocalled,0.01701599999999996
CI-SPY-202204,Citigroup,SPY,2022-04-21,2022,439.92,1.0,0.008917,0.85,0.2167370149624034,995.6,0.04697493365481308,1.8,0.04932368033755374,0.39012662693232614,-0.72,1.1666666666666667,950.1695303131081,0.32675322655199807,699.6675971637218,635.6201164595273,594.934528488152,552.5460683737748,0.30612,0.73328,402.29971671929076,952.3347692427128,0.3649424204137304,669.4461922680002,557.4657885315521,483.1724308265964,408.08810200728374,0.27848,0.78281,125.18296173536746,4.766523075728719,0.43999999999999767,4.326523075728721,-2.1652389296046977,78.15432792797515,matured_par,0.1070039999999999
JP-ROKU-202111,JPMorgan,ROKU,2021-11-12,2021,268.45,3.01,0.043125,0.6,0.42765774740591644,968.1,0.18289114891630262,2.5,0.19203570636211775,0.7697839453306496,-0.55,1.62037037037037,978.9908700905481,0.727007951034885,394.8601059442316,292.0178644004557,227.64965485624435,181.89593955030594,0.48351,0.79174,34.98690039267094,981.9840102232869,0.7404292179593797,359.5687770034437,238.01165849223258,164.62461467350562,115.42951951108364,0.45925,0.81436,2.087514524525782,1.8015989776713128,3.1899999999999977,-1.388401022328685,-2.993140132738745,54.00620590822314,matured_loss,-0.6714587111321214
HS-AMD-202311,HSBC Bank,AMD,2023-11-22,2023,120.62,3.0,0.035,0.6,0.4074664199450047,967.86,0.16602888338279892,2.0,0.17433032755193886,0.7334395559010085,-0.65,1.2962962962962963,963.9063473895559,0.6953205428698442,400.9242951554023,299.9797289987936,235.83815965169845,190.42883580639133,0.45822,0.79468,37.42747279516418,969.0057709932075,0.708942744185032,362.2788978191937,235.40482159562484,155.93652547258523,108.23469435659987,0.42745,0.82451,4.447010460611471,3.099422900679247,3.2139999999999986,-0.11457709932075177,-5.099423603651644,64.57490740316874,autocalled,0.035
GS-MU-202304,GS Finance,MU,2023-04-25,2023,61.46,2.0,0.03145,0.5,0.39944715219901905,982.0,0.1595580273999063,2.0,0.16753592876990162,0.7190048739582343,-0.65,1.2962962962962965,988.8858860521806,0.5871023472769415,498.3499047969517,392.64965056565944,325.6687207945557,272.6824118990188,0.20221,0.7654,117.32985857439286,980.8705752166445,0.6295951091172385,438.74648272480624,298.046438199224,208.59206802978147,151.88634899929013,0.22089,0.79651,13.073483023290239,1.912942478335549,1.7999999999999998,0.11294247833554927,8.01531083553607,94.60321236643546,autocalled,0.03145000000000005
HS-BA-202209,HSBC USA,BA,2022-09-16,2022,144.29,1.1,0.015208,0.67,0.40530828983593026,972.8,0.16427480980972645,1.8,0.1724885503002128,0.7295549217046745,-0.72,1.1666666666666667,919.5070155376146,0.5800627518913969,481.77723528118054,403.10044287179437,352.86810428361997,305.51113269274094,0.27367,0.68804,145.2180716194889,920.7772046428898,0.628311455839698,418.7941932572682,297.88263056311905,219.2251347880808,159.7196039050399,0.26317,0.7364,18.644296848158053,7.922279535711016,2.7200000000000046,5.2022795357110105,-1.2701891052752217,105.21781230867532,autocalled,0.03041599999999994
JP-DIS-202306,JPMorgan,DIS,2023-06-30,2023,88.94,2.01,0.008417,0.7,0.29962465341967076,978.3,0.08977493293685782,2.0,0.09426367958370072,0.5393243761554074,-0.65,1.296296296296296,926.2954059750904,0.5181972836500973,505.3388815056926,418.57353907990426,363.4469782290556,314.29712746863163,0.32275,0.78937,169.99479124943872,930.4662275748038,0.5448951572270503,477.4023462322189,343.8642738388417,257.7054534165172,194.33259700357632,0.31193,0.81793,25.646998490484226,6.9533772425196165,2.1700000000000044,4.783377242519612,-4.170821599713463,74.70926524106255,autocalled,0.04208500000000004
HS-ORCL-202602,HSBC USA,ORCL,2026-02-27,2026,147.89,1.49,0.05,0.5,0.56388083548575,977.56,0.3179615966281074,2.0,0.3338596764595128,1.01498550387435,-0.65,1.296296296296296,971.0911337975033,0.7839480582075883,383.32022430693377,292.79046330406794,234.07896148771607,191.2304275990986,0.30883,0.70451,55.14796157269882,969.5336885370676,0.816238874035741,311.85605584073403,202.97402840604954,134.93987159127204,91.96550653727365,0.29694,0.74246,4.375551153531637,3.0466311462932367,2.2440000000000055,0.8026311462932312,1.5574452604356566,89.8164348980184,autocalled,0.05
MO-AMZN-202310,Morgan Stanley,AMZN,2023-10-26,2023,119.57,1.51,0.03,0.7,0.342645536326238,972.2,0.1174059635642953,2.0,0.12327626174251007,0.6167619653872284,-0.65,1.2962962962962965,964.211573756344,0.5361210531370384,541.1554891859406,448.77029579145517,390.7198079199885,339.54599513367486,0.31782,0.75182,168.2582696545024,964.5158851292942,0.5738452048740177,493.2217236362986,361.19224955352286,273.2934979992444,206.34937142451926,0.30101,0.7852,13.138106992687362,3.5484114870705756,2.7799999999999954,0.7684114870705803,-0.3043113729502238,87.57804623793231,autocalled,0.03
MO-BAC-202304,Morgan Stanley,BAC,2023-04-20,2023,34.12,2.01,0.025375,0.7,0.315483433609388,971.1,0.09952979688196914,2.0,0.1045062867260676,0.5678701804968984,-0.65,1.2962962962962965,959.6124389307058,0.5346330396320794,527.2207933192119,430.7261124561002,369.8861135580614,316.9568098469081,0.35303,0.78353,149.73433535678714,962.5123215730966,0.5621836948485119,493.15667541832715,353.6871788956669,266.14331812886513,198.53564068024903,0.33321,0.81637,37.0952641301257,3.7487678426903357,2.889999999999998,0.8587678426903378,-2.8998826423908213,77.03893356043335,autocalled,0.1015
GS-ICLN-202101,GS Finance,ICLN,2021-01-29,2021,30.14,1.51,0.0275,0.6,0.39087469065463964,950.0,0.15278302379436023,2.5,0.16042217498407826,0.7035744431783514,-0.55,1.6203703703703705,961.7668702214625,0.5784467375338448,496.9544220985786,403.66754068006344,345.30705436459084,292.7128003726458,0.24252,0.73913,145.6069874993733,959.2671002017571,0.6135598855811845,451.27410576136396,327.2144415011672,247.36909124495796,183.89795919097676,0.24744,0.7667,12.606687490847195,4.07328997982429,5.0,-0.9267100201757099,2.499770019705352,76.45309917889625,matured_loss,-0.12295119722868798
GS-GM-202102,GS Finance,GM,2021-02-05,2021,50.68,3.0,0.02675,0.5,0.42797740078550695,934.0,0.18316465558311845,2.5,0.19232288836227437,0.7703593214139125,-0.55,1.6203703703703705,952.0709924798447,0.6917578721950813,385.4448416196662,286.9446668176784,225.57818270194213,182.73402292739505,0.35711,0.79263,52.21970861203648,955.2333859647301,0.7064818098779179,348.3618918135875,228.01153336202185,155.7190928418097,110.08556543814336,0.35197,0.81559,7.566247997852034,4.476661403526987,6.6000000000000005,-2.1233385964730136,-3.162393484885456,58.93313345565656,autocalled,0.02675
JP-F-202102,JPMorgan,F,2021-02-23,2021,11.64,1.0,0.025,0.7,0.35850439610049784,974.2,0.12852540202338264,2.5,0.13495167212455178,0.6453079129808961,-0.55,1.6203703703703707,957.4625207194185,0.4998794764406869,566.9422279309756,485.71039722033737,433.5804638829851,384.6759580843632,0.24029,0.69896,202.29888686375753,956.0841082743509,0.5367365734500935,526.2143523703112,410.3674059651682,332.9203092287512,265.05468553553777,0.23768,0.73183,41.66827009728338,4.391589172564909,2.5799999999999956,1.8115891725649131,1.3784124450676245,75.34299125516918,autocalled,0.025
JP-BA-202203,JPMorgan,BA,2022-03-24,2022,189.06,1.01,0.03625,0.7,0.4299999392923007,975.4,0.18489994779138227,1.8,0.1941449451809514,0.7739998907261413,-0.72,1.1666666666666667,948.231631922206,0.6091537262299296,498.02409399289814,412.1892955898383,355.7984873163039,307.7914070948239,0.32638,0.68443,143.9452117957874,948.4750371599147,0.6598189067959691,426.39991624839365,303.7766072353167,227.15844752620652,166.15529094050154,0.29829,0.73341,11.94549672020593,5.152496284008532,2.460000000000002,2.6924962840085302,-0.2434052377086573,108.4126883545216,autocalled,0.10875
